TimePeriod,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2019,UHF34,501502,3,Northern SI,"3.7* (1.5, 8.8)","6,000*","4.3* (1.7, 10.6)"
2019,UHF34,503504,3,Southern SI,**,**,**
2019,UHF34,105106107,3,South Bronx,"6.2 (3.8, 10.0)","25,000","6.4 (3.8, 10.5)"
2019,Borough,1,1,Bronx,"6.1 (4.5, 8.3)","64,000","6.1 (4.5, 8.4)"
2019,Borough,2,1,Brooklyn,"5.3 (4.1, 6.7)","103,000","5.3 (4.1, 6.7)"
2019,Borough,3,1,Manhattan,"4.5 (3.1, 6.6)","61,000","4.6 (3.1, 6.8)"
2019,Borough,4,1,Queens,"2.7 (1.8, 3.8)","48,000","2.7 (1.8, 3.8)"
2019,Borough,5,1,Staten Island,"4.5* (2.3, 8.6)","18,000*","4.8* (2.5, 9.2)"
2019,Citywide,1,0,New York City,"4.5 (3.9, 5.3)","293,000","4.5 (3.9, 5.3)"
2018,UHF34,101,3,Kingsbridge - Riverdale,"4.2* (1.8, 9.5)","3,000*","4.7* (2.0, 10.6)"
2018,UHF34,102,3,Northeast Bronx,"3.2* (1.3, 7.9)","5,000*","3.4* (1.3, 8.3)"
2018,UHF34,103,3,Fordham - Bronx Pk,"6.9 (3.8, 12.1)","13,000*","7.1* (3.9, 12.6)"
2018,UHF34,104,3,Pelham - Throgs Neck,"8.6 (5.3, 13.7)","21,000","8.7 (5.3, 14.0)"
2018,UHF34,201,3,Greenpoint,**,**,**
2018,UHF34,202,3,Downtown - Heights - Slope,"7.4* (3.8, 13.9)","13,000*","7.2* (3.7, 13.5)"
2018,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"4.4* (2.3, 8.1)","11,000*","4.5* (2.3, 8.6)"
2018,UHF34,204,3,East New York,"5.9* (2.2, 15.1)",**,**
2018,UHF34,205,3,Sunset Park,"0.8* (0.2, 2.7)","1,000*","0.8* (0.2, 2.7)"
2018,UHF34,206,3,Borough Park,"1.6* (0.7, 3.7)","4,000*","1.7* (0.7, 4.0)"
2018,UHF34,207,3,East Flatbush - Flatbush,**,**,**
2018,UHF34,208,3,Canarsie - Flatlands,"2.3* (0.9, 6.1)","3,000*","2.1* (0.8, 5.8)"
2018,UHF34,209,3,Bensonhurst - Bay Ridge,"3.0* (1.3, 6.7)","5,000*","3.2* (1.3, 7.7)"
2018,UHF34,210,3,Coney Island - Sheepshead Bay,"3.0 (1.7, 5.3)","8,000","3.2 (1.8, 5.7)"
2018,UHF34,211,3,Williamsburg - Bushwick,"5.9* (2.5, 13.0)","9,000*","5.8* (2.4, 13.2)"
2018,UHF34,301,3,Washington Heights,"4.5* (2.1, 9.7)","9,000*","4.5* (2.1, 9.5)"
2018,UHF34,302,3,Central Harlem - Morningside Heights,"9.3 (5.4, 15.7)","12,000","9.9 (5.5, 17.2)"
2018,UHF34,303,3,East Harlem,"2.2* (0.8, 6.3)","2,000*","2.2* (0.7, 6.2)"
2018,UHF34,304,3,Upper West Side,"1.6* (0.5, 4.7)","3,000*","1.7* (0.6, 4.8)"
2018,UHF34,401,3,Long Island City - Astoria,"8.5* (3.8, 17.9)","16,000*","9.0* (4.1, 19.0)"
2018,UHF34,402,3,West Queens,"3.8* (1.7, 8.3)","15,000*","4.1* (1.8, 8.9)"
2018,UHF34,403,3,Flushing - Clearview,**,**,**
2018,UHF34,405,3,Ridgewood - Forest Hills,"5.0* (2.4, 10.1)","10,000*","4.7* (2.4, 9.1)"
2018,UHF34,407,3,Southwest Queens,"2.3* (1.1, 4.8)","5,000*","2.5* (1.1, 5.4)"
2018,UHF34,408,3,Jamaica,"1.6* (0.8, 3.3)","4,000*","1.7* (0.8, 3.5)"
2018,UHF34,409,3,Southeast Queens,"1.5* (0.6, 3.9)","2,000*","1.5* (0.6, 4.2)"
2018,UHF34,410,3,Rockaways,"9.0* (3.7, 20.4)","7,000*","8.9* (3.5, 20.8)"
2018,UHF34,305307,3,Upper East Side-Gramercy,"4.9* (2.5, 9.2)","15,000*","4.8* (2.5, 9.1)"
2018,UHF34,306308,3,Chelsea-Village  ,"4.5* (2.1, 9.1)","9,000*","4.3* (2.0, 9.1)"
2018,UHF34,309310,3,Union Square-Lower Manhattan,"9.9 (5.7, 16.7)","22,000","10.2 (5.7, 17.7)"
2018,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"2.5* (1.0, 6.3)","3,000*","2.3* (1.0, 5.3)"
2018,UHF34,501502,3,Northern SI,"1.0* (0.3, 3.2)","2,000*","1.1* (0.3, 3.9)"
2018,UHF34,503504,3,Southern SI,"3.5* (1.4, 8.7)","8,000*","3.5* (1.5, 8.1)"
2018,UHF34,105106107,3,South Bronx,"7.1 (4.9, 10.1)","28,000","6.9 (4.7, 10.0)"
2018,Borough,1,1,Bronx,"6.6 (5.1, 8.5)","71,000","6.6 (5.1, 8.4)"
2018,Borough,2,1,Brooklyn,"3.6 (2.7, 4.7)","72,000","3.6 (2.7, 4.7)"
2018,Borough,3,1,Manhattan,"5.4 (4.0, 7.1)","73,000","5.4 (4.0, 7.2)"
2018,Borough,4,1,Queens,"3.7 (2.6, 5.1)","68,000","3.7 (2.7, 5.1)"
2018,Borough,5,1,Staten Island,"2.5* (1.1, 5.4)","9,000*","2.5* (1.2, 5.2)"
2018,Citywide,1,0,New York City,"4.4 (3.8, 5.1)","293,000","4.4 (3.8, 5.1)"
2017,UHF34,101,3,Kingsbridge - Riverdale,**,"3,000*","3.4* (1.3, 8.7)"
2017,UHF34,102,3,Northeast Bronx,"5.6* (2.7, 11.2)","8,000*","5.3* (2.6, 10.4)"
2017,UHF34,103,3,Fordham - Bronx Pk,"8.1 (4.8, 13.3)","16,000","8.2 (4.7, 13.8)"
2017,UHF34,104,3,Pelham - Throgs Neck,"7.2 (4.7, 11.0)","18,000","7.7 (5.0, 11.6)"
2017,UHF34,201,3,Greenpoint,"1.7* (0.5, 5.7)",**,**
2017,UHF34,202,3,Downtown - Heights - Slope,"4.3* (2.3, 8.0)","8,000*","4.2* (2.1, 8.2)"
2017,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"7.5 (4.5, 12.3)","19,000","7.6 (4.5, 12.5)"
2017,UHF34,204,3,East New York,"3.6* (1.6, 8.1)","5,000*","3.7* (1.5, 8.7)"
2017,UHF34,205,3,Sunset Park,"2.9* (1.3, 6.2)","3,000*","2.8* (1.3, 5.9)"
